job_title,years_experience,education,location,skills,salary_chf
Data Scientist,1,Apprenticeship,Basel,sql;power bi;python;docker;machine learning;nlp,119789.0
Software Developer,7,Bachelor,Remote CH,machine learning;cloud;sql,132566.0
Data Engineer,4,Bachelor,Basel,sql;java;power bi;spark,116995.0
IT Consultant,9,Master,Zurich,machine learning;sql;python;docker,140216.0
Data Engineer,2,Master,Zurich,spark;cloud,111650.0
Business Analyst,0,Master,Geneva,power bi;docker;java,102399.0
Business Analyst,10,Apprenticeship,Geneva,python;project management,149504.0
IT Consultant,9,Apprenticeship,Basel,docker;power bi;machine learning;python,135097.0
Data Engineer,3,Bachelor,Zurich,sql;python;project management,105746.0
IT Consultant,2,Apprenticeship,Zurich,sql;nlp;cloud,111670.0
IT Consultant,2,Apprenticeship,Zurich,docker;power bi;nlp;project management,114782.0
Data Scientist,6,Master,Remote CH,project management;java;nlp;python;machine learning;sql,158913.0
IT Consultant,4,Master,Basel,power bi;project management,100736.0
Business Analyst,11,Master,Basel,sql;java;nlp;cloud,149487.0
Data Engineer,3,Master,Zurich,spark;sql;cloud;python;power bi;docker,155402.0
Software Developer,10,Master,Zurich,docker;python;java;nlp;cloud;sql,172046.0
Software Developer,2,Master,Geneva,nlp;docker;cloud;power bi;spark;sql,127198.0
Business Analyst,3,Apprenticeship,Other CH,machine learning;cloud;power bi;sql,97732.0
Business Analyst,6,Apprenticeship,Bern,spark;nlp;docker,118127.0
IT Consultant,1,Bachelor,Remote CH,cloud;spark;project management;nlp,107910.0
ML Engineer,4,Bachelor,Zurich,spark;sql;machine learning;java,143634.0
Data Scientist,11,Master,Basel,spark;java;docker;nlp;machine learning,160051.0
Data Engineer,8,Master,Remote CH,nlp;power bi;project management;machine learning;cloud,182585.0
Data Scientist,6,Bachelor,Geneva,java;sql;python,120970.0
Data Engineer,2,Bachelor,Zurich,project management;java;nlp;python,114243.0
Data Engineer,2,Bachelor,Remote CH,python;java;project management;nlp;cloud;machine learning,130495.0
IT Consultant,6,Apprenticeship,Remote CH,docker;spark,122991.0
IT Consultant,1,Master,Zurich,java;cloud;nlp;python;machine learning;spark,159761.0
Data Engineer,9,Bachelor,Zurich,java;project management;nlp;python,163348.0
ML Engineer,6,Master,Zurich,nlp;java;spark;sql;project management,151725.0
Business Analyst,12,Bachelor,Basel,nlp;machine learning;cloud,151019.0
Data Scientist,4,Master,Zurich,nlp;cloud;machine learning,129908.0
Software Developer,21,Master,Geneva,power bi;sql;project management,180293.0
Business Analyst,17,PhD,Remote CH,cloud;machine learning;project management;sql;nlp;spark,188626.0
Data Engineer,6,Apprenticeship,Zurich,python;machine learning;power bi;nlp;docker;project management,145164.0
Software Developer,3,Bachelor,Geneva,python;power bi;project management;java,135217.0
Data Scientist,6,Master,Bern,power bi;machine learning;python;docker;project management,146950.0
Software Developer,4,Bachelor,Remote CH,java;cloud;power bi;nlp;sql;python,147375.0
IT Consultant,3,Master,Zurich,cloud;nlp;spark,109830.0
Business Analyst,1,Apprenticeship,Remote CH,docker;machine learning;python;sql,118038.0
ML Engineer,15,Bachelor,Bern,machine learning;nlp,177126.0
IT Consultant,3,Apprenticeship,Basel,java;nlp;cloud;sql;docker;power bi,105368.0
ML Engineer,3,Apprenticeship,Other CH,python;nlp,120825.0
Data Engineer,2,Apprenticeship,Zurich,machine learning;spark;project management;cloud;java,148963.0
Software Developer,2,Master,Basel,machine learning;java;sql;power bi;nlp,140804.0
ML Engineer,8,PhD,Zurich,cloud;python;spark,158117.0
ML Engineer,5,Apprenticeship,Geneva,java;machine learning;docker,117960.0
ML Engineer,4,Apprenticeship,Geneva,cloud;project management;java,123519.0
Data Engineer,6,Master,Bern,power bi;java;sql;python,150621.0
Data Engineer,5,Bachelor,Basel,machine learning;java;sql;spark;power bi,148040.0
Software Developer,12,Apprenticeship,Zurich,sql;spark;java;python;project management;power bi,143818.0
IT Consultant,2,Bachelor,Zurich,docker;power bi,128992.0
Software Developer,7,Bachelor,Basel,java;docker,121075.0
ML Engineer,9,Master,Zurich,java;machine learning;nlp,151121.0
Software Developer,2,Apprenticeship,Zurich,power bi;cloud;docker;java;spark,124075.0
Data Scientist,4,Bachelor,Zurich,power bi;docker;cloud,128552.0
Software Developer,6,Master,Zurich,docker;python;cloud;spark;java,157383.0
Software Developer,6,Master,Geneva,spark;cloud,144152.0
Data Engineer,4,PhD,Bern,project management;java;python;machine learning,114507.0
Software Developer,4,Bachelor,Zurich,power bi;cloud;project management;nlp;machine learning,130144.0
Business Analyst,1,Master,Other CH,docker;python;nlp,126219.0
Business Analyst,3,Bachelor,Remote CH,machine learning;cloud;spark;python;power bi,99167.0
Business Analyst,15,Master,Zurich,java;project management,138896.0
Business Analyst,1,Bachelor,Basel,power bi;sql;project management,99904.0
IT Consultant,9,PhD,Remote CH,spark;java;docker;cloud;python,165748.0
Data Engineer,9,Master,Zurich,power bi;nlp;spark,151612.0
Data Scientist,1,Bachelor,Basel,java;power bi;cloud;python;docker;project management,129938.0
ML Engineer,11,Master,Remote CH,docker;power bi;cloud,154096.0
Data Scientist,11,Master,Bern,cloud;project management;machine learning;docker;java;python,176757.0
ML Engineer,7,PhD,Bern,project management;machine learning;spark;python;docker,172187.0
ML Engineer,5,Bachelor,Zurich,sql;power bi;project management;python;machine learning,146081.0
Data Scientist,0,Master,Zurich,machine learning;project management;python,142451.0
Data Engineer,1,Bachelor,Basel,power bi;sql;python,113281.0
Software Developer,1,Bachelor,Zurich,python;project management;sql;java;spark,117397.0
IT Consultant,2,Bachelor,Zurich,machine learning;cloud;project management;power bi;sql,137948.0
Business Analyst,2,Bachelor,Basel,cloud;nlp;sql;python,113746.0
Data Engineer,3,Master,Basel,nlp;python;project management;java,118204.0
Data Engineer,3,Bachelor,Zurich,power bi;nlp;machine learning;cloud;project management,145054.0
Software Developer,3,Master,Other CH,power bi;machine learning;python;nlp,104732.0
Software Developer,6,Bachelor,Zurich,spark;docker;power bi;sql;project management;java,135024.0
Business Analyst,12,Bachelor,Geneva,python;java;project management,139536.0
Business Analyst,8,Master,Zurich,power bi;spark;sql;cloud;python,169712.0
IT Consultant,14,Master,Remote CH,sql;spark;python;nlp;machine learning;docker,164925.0
IT Consultant,21,Master,Zurich,java;project management;cloud;python;spark,198526.0
ML Engineer,3,Master,Zurich,spark;python;docker;project management;cloud,145472.0
IT Consultant,0,Bachelor,Basel,python;spark;docker;machine learning;nlp;java,133402.0
IT Consultant,4,Master,Bern,power bi;project management;cloud;machine learning;java,123187.0
Data Scientist,13,Master,Bern,java;power bi,153936.0
ML Engineer,7,Bachelor,Basel,project management;spark;docker,139994.0
Data Engineer,5,Master,Zurich,power bi;sql;java;project management,122417.0
Business Analyst,1,Master,Bern,project management;power bi;sql;python;docker;nlp,127937.0
IT Consultant,3,Master,Geneva,cloud;spark;machine learning,124316.0
ML Engineer,5,Master,Basel,docker;python;cloud;power bi;project management;java,143413.0
ML Engineer,2,Apprenticeship,Other CH,power bi;cloud,83560.0
Data Engineer,5,PhD,Basel,sql;docker;nlp;cloud,144680.0
ML Engineer,5,Bachelor,Zurich,java;sql;power bi;machine learning,159143.0
Data Engineer,6,Apprenticeship,Remote CH,python;machine learning;cloud;project management,134999.0
Business Analyst,6,Apprenticeship,Geneva,cloud;sql;java;docker,126903.0
IT Consultant,4,Master,Zurich,nlp;machine learning;power bi;project management;java;python,148556.0
Software Developer,0,Bachelor,Other CH,power bi;spark;java;machine learning;sql,118417.0
Data Scientist,6,Bachelor,Other CH,project management;sql;docker;java;machine learning,111448.0
Data Engineer,7,Bachelor,Basel,machine learning;sql;java;project management;nlp,136235.0
Business Analyst,12,Master,Zurich,java;project management,154805.0
Data Engineer,9,Master,Bern,cloud;spark,150723.0
IT Consultant,9,Master,Other CH,cloud;python;project management;sql,145576.0
Data Engineer,1,Bachelor,Geneva,project management;power bi;cloud;sql;docker,105031.0
ML Engineer,14,Master,Geneva,docker;machine learning;project management,191867.0
IT Consultant,5,Bachelor,Remote CH,nlp;project management,131372.0
Business Analyst,2,Master,Zurich,nlp;cloud;project management;power bi;machine learning,127161.0
Software Developer,3,Bachelor,Other CH,spark;sql;power bi,116286.0
ML Engineer,10,Apprenticeship,Other CH,sql;cloud,150208.0
Business Analyst,7,Bachelor,Zurich,spark;python;docker;project management;sql,139737.0
Data Engineer,3,PhD,Zurich,project management;power bi;java,141655.0
Data Engineer,7,Apprenticeship,Bern,power bi;machine learning;cloud,150689.0
Data Engineer,3,Apprenticeship,Other CH,power bi;java;cloud;nlp;project management;machine learning,114596.0
Data Scientist,2,Master,Zurich,cloud;machine learning,129578.0
ML Engineer,3,Master,Basel,java;power bi;sql;machine learning;docker,158410.0
Business Analyst,6,PhD,Other CH,java;docker;power bi;cloud;python,149271.0
IT Consultant,1,Master,Bern,power bi;project management,95259.0
ML Engineer,12,Apprenticeship,Basel,python;java;project management,154804.0
Software Developer,3,Master,Zurich,java;spark;docker;sql;project management,128427.0
Data Scientist,6,Master,Zurich,spark;nlp;sql,140705.0
IT Consultant,6,Bachelor,Other CH,power bi;cloud;nlp;docker,122075.0
Software Developer,5,Bachelor,Zurich,power bi;project management,134662.0
Software Developer,12,PhD,Basel,java;spark;project management;nlp,176634.0
IT Consultant,4,Bachelor,Geneva,sql;project management;machine learning;python;cloud,137067.0
IT Consultant,7,PhD,Zurich,spark;machine learning;sql,147321.0
IT Consultant,11,Bachelor,Other CH,nlp;docker;java;cloud,138376.0
Software Developer,9,Apprenticeship,Remote CH,nlp;sql;power bi;python,138769.0
Data Scientist,5,Master,Zurich,project management;docker;power bi;python,134865.0
IT Consultant,5,Bachelor,Geneva,sql;power bi;python,117343.0
ML Engineer,3,Bachelor,Other CH,docker;nlp;sql;cloud;python;spark,133905.0
ML Engineer,13,Master,Zurich,docker;python;java;spark;project management,173113.0
Data Scientist,3,Bachelor,Zurich,java;spark;nlp,110064.0
Software Developer,7,Bachelor,Basel,power bi;docker,109459.0
ML Engineer,7,Apprenticeship,Bern,sql;project management;machine learning;java;power bi;cloud,175640.0
ML Engineer,4,Apprenticeship,Zurich,nlp;sql;python;machine learning;power bi,139744.0
Data Scientist,3,Bachelor,Geneva,docker;cloud;java,124715.0
Business Analyst,10,Bachelor,Remote CH,java;python;machine learning,136253.0
IT Consultant,7,Master,Remote CH,sql;java;docker,116576.0
Data Engineer,4,Bachelor,Bern,power bi;project management;spark;nlp,111165.0
Business Analyst,3,Master,Remote CH,docker;sql;cloud;project management,106985.0
Business Analyst,2,Bachelor,Zurich,project management;python;docker;spark;power bi;java,122736.0
Data Scientist,10,Bachelor,Other CH,java;spark,149271.0
Business Analyst,5,Bachelor,Bern,power bi;cloud;python;machine learning,122470.0
IT Consultant,11,Bachelor,Other CH,cloud;sql;project management;spark;nlp,149266.0
ML Engineer,8,Bachelor,Zurich,sql;spark;cloud;java,159109.0
Business Analyst,10,Bachelor,Geneva,power bi;java;project management;sql,116628.0
Data Engineer,16,PhD,Remote CH,project management;java;python;spark,172042.0
Software Developer,3,Master,Zurich,spark;python,125432.0
Data Engineer,25,Bachelor,Geneva,machine learning;project management,178811.0
Business Analyst,5,Bachelor,Zurich,sql;machine learning,137295.0
IT Consultant,9,Apprenticeship,Zurich,spark;nlp;cloud;java,134814.0
IT Consultant,3,Master,Remote CH,power bi;sql,120723.0
Software Developer,3,Bachelor,Bern,spark;java;sql;python,119430.0
ML Engineer,3,Bachelor,Basel,python;docker;power bi,126498.0
IT Consultant,3,Master,Other CH,sql;machine learning,101925.0
IT Consultant,8,Master,Remote CH,docker;java;cloud;python;project management,134257.0
IT Consultant,2,Bachelor,Basel,spark;power bi;docker,111318.0
Data Scientist,5,Bachelor,Remote CH,cloud;sql;java,125398.0
Software Developer,4,PhD,Basel,docker;sql;java,127446.0
Data Engineer,9,Master,Zurich,sql;spark;power bi;java;project management;cloud,165220.0
IT Consultant,4,Apprenticeship,Zurich,docker;project management;python;machine learning;nlp,111148.0
Data Scientist,6,Master,Bern,sql;spark;java;cloud,123613.0
Data Engineer,8,Master,Other CH,sql;nlp;cloud;java;machine learning,145791.0
ML Engineer,1,Bachelor,Bern,java;project management;docker,117009.0
IT Consultant,22,Master,Other CH,docker;cloud;sql;spark;project management,192531.0
Software Developer,3,Bachelor,Zurich,power bi;docker;cloud;project management;nlp;machine learning,140293.0
Business Analyst,10,Master,Remote CH,sql;python,134442.0
Data Scientist,6,Bachelor,Geneva,power bi;spark;cloud;sql;machine learning,149893.0
Business Analyst,3,Master,Other CH,python;sql,111527.0
Software Developer,2,Bachelor,Basel,java;project management,94567.0
IT Consultant,1,Bachelor,Other CH,python;cloud;machine learning;docker;sql;java,107287.0
ML Engineer,21,Master,Other CH,spark;power bi;machine learning;java;sql,171776.0
Business Analyst,1,Master,Zurich,java;sql;python,119284.0
Data Scientist,5,Master,Zurich,spark;power bi;project management;docker;sql,148993.0
Business Analyst,8,Master,Zurich,spark;machine learning;python;nlp;docker,149318.0
Software Developer,25,Master,Zurich,project management;machine learning;docker;power bi,186103.0
ML Engineer,0,Bachelor,Zurich,project management;docker;spark;python;power bi;cloud,145519.0
Data Engineer,2,Master,Basel,java;project management;python;power bi;sql;machine learning,140893.0
IT Consultant,5,Bachelor,Geneva,spark;docker,136623.0
Software Developer,6,Bachelor,Geneva,project management;power bi;spark,135493.0
ML Engineer,3,Bachelor,Other CH,project management;sql;spark;nlp;docker,120632.0
Data Engineer,2,Bachelor,Other CH,cloud;sql;python;machine learning;nlp,113741.0
Software Developer,14,Bachelor,Basel,sql;docker,140250.0
ML Engineer,13,Bachelor,Other CH,machine learning;docker;spark,157530.0
Data Scientist,9,Bachelor,Zurich,sql;power bi;spark;nlp;machine learning,147710.0
Data Scientist,4,Bachelor,Other CH,project management;docker,89684.0
Business Analyst,5,Master,Basel,sql;nlp;machine learning;java;project management;spark,170657.0
Data Engineer,8,Bachelor,Remote CH,nlp;python,144222.0
Software Developer,5,Bachelor,Bern,nlp;java,109963.0
IT Consultant,4,Bachelor,Zurich,docker;nlp;sql;spark;cloud,128543.0
Business Analyst,2,Apprenticeship,Zurich,cloud;spark;java;machine learning;docker;project management,118371.0
ML Engineer,7,Master,Zurich,project management;java;power bi;docker,135937.0
IT Consultant,6,Apprenticeship,Zurich,python;nlp,110966.0
ML Engineer,9,Master,Zurich,spark;java;docker;power bi;project management,149369.0
Software Developer,8,Master,Remote CH,sql;project management,134846.0
Data Engineer,11,Master,Other CH,java;python,136025.0
Data Scientist,1,Master,Zurich,power bi;docker;cloud;project management;machine learning,130571.0
ML Engineer,7,Bachelor,Zurich,java;python;machine learning;power bi;spark;nlp,164347.0
Software Developer,1,Apprenticeship,Bern,java;machine learning;docker;nlp;spark,129725.0
Data Engineer,1,Bachelor,Other CH,nlp;machine learning,103964.0
Software Developer,11,Master,Zurich,project management;docker;machine learning;python;spark,168997.0
IT Consultant,3,Apprenticeship,Zurich,spark;cloud;java;machine learning,126645.0
Data Scientist,8,PhD,Geneva,spark;project management;sql;cloud,142173.0
Data Scientist,1,Master,Zurich,java;cloud;nlp;docker;power bi;spark,123853.0
IT Consultant,6,PhD,Geneva,sql;machine learning,165038.0
ML Engineer,3,Bachelor,Remote CH,cloud;java;spark;project management;python;nlp,156855.0
Software Developer,8,Master,Geneva,python;machine learning;docker,144936.0
Business Analyst,6,Master,Other CH,cloud;power bi;machine learning;spark,129821.0
ML Engineer,7,Bachelor,Geneva,machine learning;cloud;nlp;spark;power bi;docker,168267.0
Data Engineer,0,Master,Zurich,project management;power bi;spark;java;python;machine learning,138555.0
Data Scientist,11,Bachelor,Zurich,machine learning;project management;java;power bi;spark;docker,162807.0
IT Consultant,2,Master,Zurich,cloud;java;nlp;project management;power bi,124196.0
Business Analyst,2,Bachelor,Zurich,docker;project management;spark;cloud;nlp,120824.0
Data Scientist,1,Master,Bern,sql;java;power bi,131916.0
Business Analyst,6,Apprenticeship,Remote CH,cloud;python;power bi;spark,122103.0
ML Engineer,2,Bachelor,Geneva,docker;spark;power bi,140160.0
Data Engineer,5,Master,Geneva,nlp;project management;java;machine learning,147477.0
Data Engineer,11,Master,Zurich,sql;cloud;power bi;spark;java,172309.0
IT Consultant,7,Master,Zurich,machine learning;python;cloud;power bi,128387.0
IT Consultant,22,Bachelor,Other CH,sql;java;python;nlp,157461.0
IT Consultant,13,PhD,Geneva,power bi;java;machine learning;python,167727.0
Software Developer,16,Bachelor,Geneva,project management;nlp;python;power bi,157486.0
Data Engineer,11,Master,Zurich,spark;project management;python;machine learning,171742.0
Data Scientist,6,Master,Remote CH,docker;spark;nlp;cloud;sql,145295.0
IT Consultant,8,PhD,Remote CH,java;cloud;nlp;machine learning,162740.0
Software Developer,1,Bachelor,Bern,sql;spark,116442.0
Software Developer,2,Apprenticeship,Zurich,sql;project management;cloud,127856.0
Business Analyst,7,Bachelor,Bern,docker;python;project management,125793.0
Business Analyst,5,Master,Zurich,cloud;sql;power bi;spark;docker;nlp,148974.0
IT Consultant,6,Apprenticeship,Zurich,spark;python;nlp,131354.0
Data Scientist,6,Master,Zurich,nlp;project management;java,139786.0
Data Engineer,7,Apprenticeship,Other CH,cloud;power bi;project management;java;machine learning,112896.0
Business Analyst,10,Bachelor,Bern,java;sql,122468.0
Data Engineer,4,Apprenticeship,Remote CH,sql;python;spark;java,133329.0
IT Consultant,3,Apprenticeship,Basel,project management;docker,115267.0
ML Engineer,3,Bachelor,Zurich,project management;sql;cloud,138423.0
Data Engineer,5,Bachelor,Basel,nlp;machine learning;java;power bi;docker;cloud,137341.0
Software Developer,6,Master,Remote CH,cloud;project management;spark,132639.0
IT Consultant,4,Bachelor,Bern,power bi;python;java;cloud,123713.0
Data Scientist,12,Bachelor,Bern,docker;sql,137995.0
Data Engineer,13,Master,Zurich,machine learning;cloud;python;spark;sql;power bi,173036.0
Software Developer,14,Bachelor,Zurich,docker;power bi;nlp;python,161516.0
IT Consultant,9,Master,Bern,docker;power bi,114085.0
Data Engineer,3,PhD,Zurich,java;docker,126290.0
Business Analyst,2,Apprenticeship,Zurich,java;docker;python,95537.0
Data Engineer,11,Master,Other CH,cloud;docker;project management,146445.0
Data Engineer,10,Bachelor,Basel,cloud;sql;project management;spark;docker,157703.0
ML Engineer,4,Bachelor,Geneva,spark;machine learning;python;docker;sql;nlp,143860.0
Data Scientist,4,Bachelor,Zurich,java;spark;sql;machine learning;cloud;python,141428.0
Business Analyst,10,PhD,Remote CH,python;nlp;cloud;machine learning;docker;sql,162499.0
Business Analyst,5,Apprenticeship,Basel,java;machine learning,107356.0
Data Scientist,2,Master,Basel,machine learning;sql;spark;java,119897.0
Software Developer,5,Apprenticeship,Zurich,spark;power bi;project management;cloud,123353.0
Software Developer,10,Master,Other CH,machine learning;java;power bi;sql;cloud,161004.0
Business Analyst,16,Bachelor,Bern,power bi;python;cloud;java;nlp,151476.0
IT Consultant,2,Bachelor,Basel,machine learning;nlp;python,102137.0
ML Engineer,2,Master,Zurich,docker;cloud;python,112126.0
Data Engineer,0,Bachelor,Zurich,java;power bi,119557.0
IT Consultant,2,Master,Bern,java;nlp;docker,111994.0
Data Scientist,4,Apprenticeship,Remote CH,docker;cloud;machine learning,133241.0
Data Scientist,3,PhD,Other CH,java;machine learning,116625.0
Data Engineer,7,Master,Zurich,project management;python;nlp,153291.0
IT Consultant,2,Bachelor,Zurich,cloud;java;sql;python;project management;docker,125502.0
IT Consultant,0,Bachelor,Basel,power bi;sql;java;python,100077.0
Business Analyst,2,PhD,Geneva,python;nlp;spark;machine learning,126217.0
Business Analyst,3,Master,Other CH,java;docker,101066.0
Software Developer,13,Bachelor,Other CH,nlp;docker;spark,131042.0
Software Developer,1,Master,Basel,power bi;spark;sql;nlp;machine learning;docker,105688.0
Data Engineer,4,Bachelor,Geneva,docker;python;spark;cloud;power bi;machine learning,124711.0
Data Engineer,10,Master,Geneva,cloud;docker;nlp,159463.0
ML Engineer,8,Master,Geneva,java;spark;project management;docker;cloud;sql,161490.0
Data Engineer,7,Bachelor,Zurich,power bi;docker;cloud,127519.0
Business Analyst,3,Apprenticeship,Zurich,cloud;python;spark;power bi;sql,113727.0
Data Engineer,6,Bachelor,Other CH,cloud;sql;python;project management;nlp;docker,134102.0
Data Scientist,7,Bachelor,Remote CH,sql;java;python;project management,144522.0
IT Consultant,5,Apprenticeship,Geneva,power bi;spark;sql;project management,86134.0
IT Consultant,11,Master,Basel,spark;nlp,145177.0
Business Analyst,2,Apprenticeship,Basel,cloud;power bi;project management,104578.0
Software Developer,13,Bachelor,Basel,project management;python;docker;sql;nlp,146686.0
Software Developer,3,PhD,Zurich,power bi;nlp;python;machine learning;docker,121181.0
Software Developer,3,Bachelor,Other CH,java;nlp;docker,108608.0
Software Developer,3,Master,Remote CH,sql;docker,127387.0
IT Consultant,2,Master,Zurich,java;project management;sql;machine learning,110438.0
Software Developer,0,Bachelor,Other CH,java;python;cloud;spark,99454.0
Data Engineer,3,Bachelor,Zurich,project management;nlp;docker;java;spark;python,144616.0
Data Engineer,6,Bachelor,Zurich,java;python;power bi,129304.0
Software Developer,2,PhD,Basel,spark;project management;cloud;nlp,135067.0
Business Analyst,3,Apprenticeship,Bern,machine learning;spark;project management,99505.0
IT Consultant,7,Apprenticeship,Geneva,project management;sql,92045.0
ML Engineer,0,Bachelor,Zurich,project management;power bi;python,129273.0
Software Developer,4,Bachelor,Basel,project management;sql;nlp,104306.0
Business Analyst,4,Bachelor,Remote CH,python;nlp;machine learning;power bi;project management;cloud,130551.0
ML Engineer,2,Bachelor,Other CH,power bi;python;docker;spark;machine learning;sql,136049.0
Software Developer,6,PhD,Basel,machine learning;cloud;nlp;python;sql;power bi,141820.0
Data Scientist,4,PhD,Zurich,power bi;cloud,136451.0
Software Developer,11,Apprenticeship,Zurich,power bi;nlp;docker;project management;python,160539.0
IT Consultant,5,Bachelor,Basel,nlp;python;cloud;docker;project management;java,140399.0
Data Engineer,11,Master,Geneva,spark;nlp;python;machine learning,155380.0
Software Developer,8,Bachelor,Remote CH,power bi;java;nlp;sql;docker,151689.0
Data Engineer,6,Master,Geneva,docker;spark;sql;python;java,152827.0
Business Analyst,7,Bachelor,Bern,machine learning;python;spark;sql,147336.0
Data Scientist,2,Bachelor,Zurich,project management;docker;spark;python,133201.0
Data Scientist,8,Master,Zurich,cloud;nlp;spark;sql;java;project management,170709.0
Data Engineer,9,Bachelor,Zurich,nlp;sql;power bi,142595.0
Data Scientist,2,Master,Zurich,java;python,118287.0
IT Consultant,6,Bachelor,Zurich,python;cloud;machine learning,144293.0
Data Scientist,5,Bachelor,Bern,cloud;java,107771.0
Software Developer,16,PhD,Other CH,nlp;java;docker;sql;python;power bi,173303.0
Software Developer,4,Apprenticeship,Zurich,cloud;python;spark,110808.0
ML Engineer,9,Bachelor,Zurich,python;project management;docker,161399.0
Software Developer,12,Bachelor,Zurich,docker;project management,155305.0
IT Consultant,3,Bachelor,Zurich,java;project management;nlp;spark;power bi,126292.0
Data Engineer,7,PhD,Zurich,nlp;python,143260.0
IT Consultant,2,Bachelor,Other CH,sql;project management;nlp;spark,108198.0
IT Consultant,8,Bachelor,Remote CH,project management;nlp;sql;docker,128558.0
Data Scientist,8,Master,Basel,python;docker;project management;sql;spark;nlp,143244.0
ML Engineer,2,Bachelor,Zurich,spark;power bi;nlp;python,127938.0
ML Engineer,7,Bachelor,Bern,spark;cloud;machine learning,143834.0
Software Developer,4,Master,Bern,java;project management;python;machine learning;spark;sql,134630.0
Data Scientist,6,Bachelor,Other CH,spark;nlp;power bi;sql;java;project management,138363.0
Data Scientist,8,PhD,Remote CH,cloud;spark;docker;machine learning,185827.0
Software Developer,13,Bachelor,Zurich,machine learning;cloud;nlp,144885.0
ML Engineer,10,Master,Geneva,python;spark;docker,161756.0
Data Engineer,6,Bachelor,Remote CH,python;sql,124394.0
Data Scientist,1,Bachelor,Zurich,project management;java;spark;sql;python;cloud,134457.0
IT Consultant,5,Bachelor,Zurich,power bi;spark;docker;nlp,127606.0
Data Scientist,6,Apprenticeship,Zurich,docker;nlp;cloud;spark;java;python,161036.0
Data Scientist,5,Apprenticeship,Remote CH,java;cloud;power bi;spark,154084.0
Data Scientist,2,Bachelor,Bern,power bi;nlp;project management;cloud;machine learning;docker,135222.0
Business Analyst,4,Bachelor,Remote CH,project management;python,97276.0
ML Engineer,11,Bachelor,Zurich,cloud;spark;project management,166990.0
Software Developer,2,Master,Geneva,docker;power bi;nlp;cloud,114825.0
Data Scientist,2,Master,Zurich,machine learning;cloud,141518.0
Data Scientist,9,Bachelor,Basel,cloud;power bi;machine learning,136041.0
Data Engineer,2,Bachelor,Other CH,sql;power bi;spark;docker;python,100354.0
